Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-06-03T23:13:18.003,1,0.0036827576986383018,0.6994072680850771,FoVP,-0.43625768243747803,0.7196373045841398,2457177.4651950905
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-06-04T00:59:52.254,4,0.0014150971862982834,0.6947040767304069,FoVF,-0.4327455895867844,0.7209476259468507,2457177.5391967157
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-06-04T05:13:32.226,6,-0.003846395767469864,0.6834452793540251,FoVP,-0.42433506230448637,0.7240204677978505,2457177.7153397636
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-06-14T11:21:11.400,7,-0.005711846702052662,-0.02212253570772114,FoVP,0.09023327013049823,0.7264666189047213,2457187.9698925214
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-06-14T13:07:45.528,7,-0.00395554133548718,-0.02702572211724627,FoVF,0.09337154283599854,0.7252150637551469,2457188.043893556
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-06-14T17:21:25.474,3,2.972830945066327E-4,-0.03867017072558886,FoVP,0.10078204081124,0.7221808164656113,2457188.2200382845
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-06-14T19:07:59.704,3,0.0021139655871825554,-0.04355107674270683,FoVF,0.1038703260116715,0.720883216089055,2457188.294040519
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-09-14T20:17:56.013,1,0.006569752896176372,-2.6173134504118694,FoVF,-0.04100340875861254,0.7159615632897097,2457280.3426174154
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-09-15T00:31:36.234,2,0.003096040233680599,-2.6294664365525797,FoVP,-0.03317201356691417,0.7184317232535544,2457280.518789601
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-09-15T02:18:10.486,4,0.0016714903847492135,-2.634582254785188,FoVF,-0.029858541325197045,0.7194425790959847,2457280.592802284
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-09-15T06:31:50.506,4,-0.0016351223237957198,-2.6467831967522852,FoVP,-0.02191645539842743,0.7217836330260448,2457280.768972194
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-09-15T08:18:24.674,6,-0.0029884822500396173,-2.6519189685099267,FoVF,-0.01855687594296431,0.7227394895609719,2457280.8429839406
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-09-15T12:32:04.502,7,-0.006123283658020721,-2.66416688424637,FoVP,-0.010506086813586326,0.7249478345741972,2457281.019151673
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-09-22T12:37:53.725,7,-0.00706788756772987,3.1209887727997643,FoVP,0.3451872556742595,0.723341158470024,2457288.023712794
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-09-22T18:38:07.688,4,-0.0018601189343170402,3.1037325637927,FoVP,0.3578535912478297,0.719997331296968,2457288.273893951
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-09-22T20:24:41.879,5,-2.4328672181741126E-4,3.098650604553642,FoVF,0.3615823949454794,0.7189712386703029,2457288.3479065904
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-09-23T00:38:21.971,1,0.003745491086312878,3.0865987017554697,FoVP,0.37042269717965004,0.7164629747435631,2457288.5240788846
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-09-23T02:24:56.261,1,0.005480240434522544,3.0815548495869742,FoVF,0.37412141759198975,0.7153820603946556,2457288.598092683
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-10-31T18:05:15.051,5,-0.0022756127278411296,-2.0761199526561285,FoVP,-0.7112993479358815,0.7111145373823912,2457327.2546642204
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-12-08T23:22:54.121,4,-0.0016412368684038702,2.8150052590610968,FoVP,0.3526074090804159,0.7059693797080104,2457365.4787710286
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-12-09T01:09:28.341,4,3.8391867834412547E-4,2.820159116891232,FoVF,0.34834910210664827,0.7072054442582392,2457365.552783952
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-12-09T07:09:42.349,1,0.006900711423864387,2.837706354968319,FoVF,0.33384672710936897,0.7112308424183534,2457365.802965426
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-12-15T19:14:59.290,2,0.004375134761848022,-2.966900592600687,FoVF,-0.05449269859966037,0.7097749472094165,2457372.307111719
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-12-15T23:28:39.210,3,2.2415186870291685E-4,-2.9543690383313104,FoVP,-0.0639766482604133,0.7068569303398872,2457372.4832804413
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-12-16T01:15:13.431,6,-0.001572196819254041,-2.9491217496694198,FoVF,-0.06792962399433149,0.705592563988969,2457372.557292767
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-12-16T05:28:53.612,7,-0.005970800070989793,-2.936673975583266,FoVP,-0.07726314860293386,0.7024931708521303,2457372.7334644506
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2016-03-17T19:20:57.333,4,-0.0011229298366831077,0.018981322452401993,FoVP,0.3087211606864048,0.7059073362994726,2457465.310919768
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2016-03-17T21:07:31.534,3,0.002261531377501009,0.02321973759974313,FoVF,0.3057738298904422,0.7080804150489665,2457465.384921187
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2016-04-02T07:27:04.903,5,-0.001965807386343532,1.0457076570754242,FoVP,-0.5768571481090475,0.7092175402019424,2457480.81389513
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2016-05-06T18:55:05.658,2,0.0022170267702990125,-0.5218846875029748,FoVP,0.7013254191521037,0.7173000172170654,2457515.2883794527
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2016-09-20T21:20:55.359,3,0.002784421033733622,-2.27593131232027,FoVF,-0.3364907493494214,0.7193886095290051,2457652.3868770218
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2016-09-21T01:34:35.344,6,-0.004736549776855816,-2.2861475441034784,FoVP,-0.33052591188330843,0.7241570142685136,2457652.5630478533
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2016-10-09T07:39:54.864,7,-0.005677592798402036,2.785703259641548,FoVP,0.6142349136478163,0.7191300259602765,2457670.8183113905
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2016-10-09T09:26:29.033,5,-0.0014630713941006497,2.782349882600743,FoVF,0.6167273935407829,0.7175595892986105,2457670.892324842
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2016-11-10T07:14:51.051,5,-0.002354138901192927,-2.124404551078277,FoVP,-0.6889078911604379,0.7096620730910039,2457702.804031982
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2017-03-26T21:47:47.581,1,0.004408917359752259,-0.20607405229093684,FoVP,0.4821511400038631,0.7109230215736259,2457839.412215163
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2017-04-17T11:32:55.553,3,0.0030658531982065704,1.0815525953197596,FoVF,-0.6906303219159461,0.713616918483835,2457860.983257352
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2017-05-17T15:27:46.575,4,-8.504072081475626E-4,-0.5095559650779387,FoVP,0.6408842472719767,0.7185298057854144,2457891.143436555
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2017-05-17T17:14:20.796,2,0.00391886647269003,-0.5117558486790392,FoVF,0.6420344749961272,0.7169908940676785,2457891.2174369125
